source_id,teff_gspphot,teff_gspphot_upper,teff_gspphot_lower
3421375900092772352,9442.535,9495.954,9190.695
3422425109064461184,7989.195,7995.8115,7978.676
507587382602316544,8880.671,8990.133,8738.685
3443191237286001024,9553.665,9596.9375,9518.955
199846855507462144,6833.206,6840.236,6825.2954
243980500632836864,5351.906,5358.809,5344.927
233997381730017280,5736.3076,5743.3,5727.575
245736592502373760,5239.735,5244.227,5235.4395
244296885104240640,4941.197,4954.8438,4929.7925
245367912508948480,5892.336,5910.589,5877.5654
246834489221385728,4778.205,4780.6006,4775.7583
244429410613447936,4782.6978,4838.452,4744.963
238389861961721856,4575.0503,4584.37,4561.415
244394604198670464,4842.938,4848.7344,4836.989
244390996426231808,5356.927,5420.8623,5340.999
443789835305905024,9409.097,9478.324,9340.647
230494715639867136,4783.864,4788.8145,4778.651
246830847089160576,6023.75,6045.343,6007.4854
274878942037998336,6167.314,6182.9214,6152.5054
247394003203661312,7596.0625,7600.434,7588.185
187306272557630336,10858.956,10870.324,10847.23
188226907389191936,9200.731,9207.654,9017.22
205256525736556928,8212.542,8223.595,8203.431
202611062099973376,7190.508,7198.2407,7166.5312
190010353907435008,8778.945,8858.643,8687.537
191029841703291136,10025.505,10037.698,10012.832
187486528044907520,4948.6294,4957.758,4936.737
187037343184150272,9180.62,9200.515,8814.764
187027413219995264,6388.799,6476.009,6284.3823
188191826096333568,9179.799,9200.045,8835.65
90687517196198784,6977.7964,7003.444,6960.6597
90749673962876288,6537.261,6555.338,6519.721
2804585988994281728,4878.1733,4882.0312,4874.7227
2804508713942707456,5199.7812,5207.9717,5181.1997
401222276993270272,8045.6646,8073.9517,8013.336
224651842128929792,5273.2236,5365.5146,5231.8105
236154756682327296,7636.738,7644.6987,7628.215
3289308675101908992,6033.8413,6061.2676,6010.0024
3292336077288800768,5383.4863,5391.2026,5376.525
180662301748104448,4877.975,4888.468,4866.663
3231495292857674112,9100.613,9138.307,9057.609
238448995072931968,8836.0625,8932.922,8804.448
3347137184225161472,6583.3237,6593.4185,6572.8296
3348314451941307136,9755.06,9788.76,9698.873
3350511237514595712,4856.721,4862.468,4849.629
3400004172891157376,8851.37,9254.276,8783.245
213872981746165120,5800.6016,5803.207,5798.5576
213344498907956992,9005.392,9068.541,8912.28
