source_id,logg_gspphot,logg_gspphot_upper,logg_gspphot_lower
3421375900092772352,4.0996,4.1237,3.9425
3422425109064461184,4.17,4.208,4.1251
507587382602316544,3.5397,3.5718,3.5002
3443191237286001024,4.0373,4.055,4.0198
199846855507462144,4.1341,4.1374,4.1307
243980500632836864,2.8348,2.8471,2.8232
233997381730017280,4.3907,4.3961,4.3864
245736592502373760,3.0236,3.0434,2.9982
244296885104240640,2.4306,2.4361,2.4149
245367912508948480,4.1045,4.1162,4.0923
246834489221385728,3.2232,3.2308,3.2133
244429410613447936,2.2689,2.3697,2.2114
238389861961721856,2.4937,2.5171,2.4554
244394604198670464,2.9466,2.967,2.9173
244390996426231808,4.2588,4.2754,4.2529
443789835305905024,4.1125,4.1301,4.0888
230494715639867136,2.8064,2.8181,2.7949
246830847089160576,4.2136,4.2262,4.2036
274878942037998336,4.2601,4.2675,4.2515
247394003203661312,4.1678,4.1799,4.1567
187306272557630336,3.6799,3.6865,3.6732
188226907389191936,4.2623,4.2647,4.2524
205256525736556928,4.2934,4.2939,4.2928
202611062099973376,3.4811,3.5174,3.4467
190010353907435008,4.0987,4.1253,3.9802
191029841703291136,3.3885,3.3931,3.3815
187486528044907520,2.257,2.2799,2.2255
187037343184150272,4.2648,4.2728,4.2541
187027413219995264,2.4328,2.502,2.3726
188191826096333568,4.2506,4.2684,4.2431
90687517196198784,3.9611,3.9807,3.9473
90749673962876288,3.9861,4.002,3.9795
2804585988994281728,2.7363,2.7483,2.7244
2804508713942707456,4.5601,4.5652,4.551
401222276993270272,4.1919,4.2147,4.16
224651842128929792,4.2765,4.346,4.233
236154756682327296,3.6717,3.6778,3.666
3289308675101908992,4.021,4.0585,3.9933
3292336077288800768,4.0679,4.0708,4.064
180662301748104448,2.4045,2.4166,2.3887
3231495292857674112,4.0791,4.0928,4.0644
238448995072931968,4.1692,4.2036,4.1407
3347137184225161472,4.2614,4.2703,4.2527
3348314451941307136,3.6745,3.6939,3.638
3350511237514595712,2.5354,2.5571,2.512
3400004172891157376,3.5178,3.6224,3.4853
213872981746165120,4.2984,4.3023,4.2946
213344498907956992,4.2009,4.2283,4.1632
258054799222642048,3.847,3.89,3.786
142596010900668544,4.0809,4.0937,4.0648
142322266865054976,4.1119,4.1166,4.1079
279797847820098560,3.9045,3.955,3.881
168743153324481408,4.1026,4.1292,4.0846
3427558728854916096,3.7269,3.746,3.6837
3427377580016142080,3.9754,3.9932,3.9662
3427470767924586624,4.1437,4.1657,4.1037
175258545694995200,4.2254,4.2506,4.2087
186827302102820864,2.1017,2.1108,2.0987
199772161734568192,4.2086,4.2423,4.1686
191768060682753408,4.4817,4.5031,4.453
188695539859095168,4.2848,4.2856,4.2839
3444116343177399808,3.5317,3.5343,3.5269
3443716086587606400,4.0224,4.1196,3.9553
188594698326819072,2.7377,2.8012,2.6826
188753199799377024,3.4293,3.4569,3.3788
273650684467981440,4.6401,4.6484,4.6363
273673877291550848,2.0048,2.0479,1.9835
421535376363921408,4.0782,4.0903,4.0531
421434564892447232,1.9493,1.9506,1.9481
421694599392210688,3.0201,3.0591,3.0004
421884505666696832,3.4692,3.4708,3.4682
392577091943195392,4.3751,4.381,4.3688
246104413502721152,3.64,3.8997,3.5031
258186495801227648,3.3702,3.4186,3.3077
384101918875635328,3.7846,3.7978,3.7743
267540213018590464,3.9852,4.0266,3.9576
221406221242119168,3.1034,3.1107,3.0961
246672517414921856,4.0834,4.3374,3.8635
245141791070173824,3.9674,4.011,3.9069
245071078729367552,4.3336,4.3477,4.3172
232242939131027840,4.0886,4.1267,3.9509
232028500004568576,4.0954,4.111,4.0566
212549208404418688,2.3627,2.3707,2.3554
170619057603154944,2.5329,2.621,2.4262
170551849952950016,3.7404,3.7961,3.7166
3403417297503151232,4.667,4.6706,4.6626
67512457784646144,4.2093,4.2179,4.2
447111322494603520,4.0598,4.0648,4.0548
3334330583882132096,3.8032,3.822,3.787
3337495321945609984,3.9529,3.9717,3.9425
3237625963535546368,3.8995,3.9133,3.8852
3443456533121231616,4.2862,4.2988,4.2719
186983845071869952,1.8543,1.8595,1.8412
163316548045571328,4.2834,4.2881,4.2786
283831681102863488,4.0471,4.0608,4.0392
283731041429647360,3.8065,3.8783,3.7773
263968724372345856,3.562,3.571,3.5556
403206242646610688,4.1015,4.1176,4.0746
404219816272132224,4.4539,4.4656,4.4462
404781121255757824,3.9237,3.9554,3.9004
404549738479763200,4.1807,4.2031,4.1588
2550610210411323648,4.6343,4.6393,4.6266
410684983301383808,4.1417,4.1516,4.0982
447054216609787264,4.3296,4.3478,4.2912
210805108083143296,4.0334,4.0625,4.0161
3395055305413987328,2.7628,2.8134,2.5894
3213946228284610176,3.9545,3.9641,3.9446
435886786245141504,4.03,4.0398,4.0202
435432516141525376,4.0886,4.1003,4.0794
257217486758701696,3.3228,3.3678,3.2983
344044373813114240,3.8343,3.8858,3.8129
169591014230058240,4.1303,4.1661,3.8492
256831077140471552,3.9405,3.9508,3.9233
190879547908977408,3.8084,3.8209,3.798
355607211751426560,3.9575,3.9746,3.9406
358885096432674688,3.9313,3.9632,3.8975
359536488353554304,4.2734,4.2763,4.2708
359528791772166528,2.974,2.9782,2.9641
456085738258929536,4.2365,4.2503,4.2201
407753204265230080,4.0959,4.1639,3.9005
213114563539459840,3.9908,4.0036,3.9757
215662990972696960,3.2918,3.2999,3.2809
254612056518986112,4.1295,4.1428,4.1032
274950066697380864,4.4361,4.4773,4.4187
251875715675349120,4.2307,4.2482,4.2199
251913511387932672,4.1761,4.1942,4.1608
273616664029185536,2.8636,2.881,2.8431
273609414122930944,1.4749,1.5688,1.2817
316204666381672448,4.41,4.4138,4.4049
249921127592893824,3.8652,3.8729,3.8567
249921127592893824,3.8652,3.8729,3.8567
249597630660463104,4.1213,4.1578,4.0867
249597630660463104,4.1213,4.1578,4.0867
250094644276114816,4.4118,4.4199,4.4048
443762965990465920,4.0711,4.0738,4.067
443762965990465920,4.0711,4.0738,4.067
270670973598716032,4.0325,4.0714,3.9692
2808670223719757312,2.922,3.0141,2.868
408362501208573184,3.1083,3.1113,3.1053
504429894444111744,3.7466,3.7578,3.7314
456158031150485120,4.1114,4.1167,4.1034
456251803174829056,4.1407,4.1716,3.9386
408436791261346304,4.252,4.2578,4.2432
408501177112050560,4.169,4.1971,4.1331
456822243555584256,3.762,3.7733,3.7505
456973838721898752,4.1728,4.206,4.0386
409441195135132672,1.6601,1.6633,1.603
3262517841635204608,4.7939,4.8133,4.7715
441995432329279232,4.1401,4.1578,4.1358
442755538461108736,3.7543,3.7734,3.7468
3396691383014277632,4.107,4.1308,3.9932
3399408860361843840,4.355,4.3614,4.3485
3400946248198487040,4.1498,4.1555,4.1431
239505694463734400,4.1577,4.1792,4.1272
255809699557964672,4.1479,4.1882,4.1172
254972696332114944,4.3408,4.3589,4.3261
256027677738509056,4.246,4.2707,4.045
260523580784961152,4.0599,4.0759,4.0248
3442479681462756352,3.792,3.798,3.7727
3429480155486301440,4.2397,4.2511,4.2279
248687441191749888,4.1832,4.194,4.1725
249856153332327680,3.7213,3.7283,3.706
249921127592893824,3.8652,3.8729,3.8567
249921127592893824,3.8652,3.8729,3.8567
251390693608393216,1.9711,1.9919,1.9448
249597630660463104,4.1213,4.1578,4.0867
249597630660463104,4.1213,4.1578,4.0867
250459132380264448,3.9742,4.0222,3.9338
251579843967952256,2.9121,2.9212,2.9013
443762965990465920,4.0711,4.0738,4.067
443762965990465920,4.0711,4.0738,4.067
443731148872856448,4.2387,4.2478,4.2222
273927520880405888,3.2102,3.2509,3.1629
273937897521473280,3.8177,3.8359,3.7993
273530768980971008,4.1316,4.1364,4.1276
3409332433837566848,4.3332,4.3414,4.2958
3340249602869689984,4.2778,4.2985,4.1848
3339936310774916736,4.2693,4.2799,4.2593
3428469914757069056,2.0724,2.0916,2.0353
3428766439298968960,4.0769,4.1022,4.0388
366264228203949696,3.5637,3.575,3.5535
417563386310193408,4.1344,4.1559,4.1139
424074217433153792,4.281,4.2815,4.2805
425810621172549504,4.2172,4.2435,4.2045
425911153463366400,4.2254,4.2345,4.2184
239165911010096512,3.9399,3.9489,3.9315
243032068774824576,2.7485,2.7638,2.7232
436135516384426112,3.7742,3.7819,3.7632
271574875235602176,4.3145,4.3195,4.3099
258765835349270400,3.6732,3.8198,3.5939
446913272961761792,4.3105,4.3144,4.3066
447649361636827648,3.7743,3.788,3.7577
3319517039815487488,4.1154,4.1594,4.0641
3398414107280163840,4.0127,4.0658,3.9807
3399123811973088896,4.3211,4.326,4.3165
3399461705639054592,2.4763,2.4996,2.4305
3402738555229853696,3.6674,3.6901,3.6461
3399649344169929216,4.0152,4.0484,3.9683
3399687998877043840,3.9489,3.954,3.9443
3399656490996755584,4.2181,4.2548,4.1539
3402894857682644224,4.1462,4.1692,4.1239
466595802411806976,4.1394,4.1495,4.1279
491022930691802752,3.7622,3.763,3.7069
468274550507470336,3.9307,3.9431,3.9146
