source_id,mh_gspphot,mh_gspphot_upper,mh_gspphot_lower
3421375900092772352,-0.7773,-0.4526,-1.0646
3422425109064461184,-0.5155,-0.4735,-0.5514
507587382602316544,-0.1447,-0.1327,-0.1812
3443191237286001024,-1.3164,-1.0447,-1.3918
199846855507462144,-0.6632,-0.656,-0.6716
243980500632836864,-0.1895,-0.1883,-0.1906
233997381730017280,-0.3196,-0.3116,-0.3279
245736592502373760,-0.0219,-0.0204,-0.0237
244296885104240640,-0.0381,-0.0284,-0.0508
245367912508948480,-0.5776,-0.5603,-0.5949
246834489221385728,-0.0476,-0.0469,-0.0485
244429410613447936,-0.6905,-0.6824,-0.696
238389861961721856,-0.0557,-0.0445,-0.066
244394604198670464,-0.165,-0.1568,-0.1703
244390996426231808,-0.4406,-0.3853,-0.4552
443789835305905024,-0.8201,-0.582,-0.9559
230494715639867136,0.1349,0.1376,0.1325
246830847089160576,-0.5449,-0.5245,-0.5613
274878942037998336,-0.2068,-0.1943,-0.219
247394003203661312,0.2138,0.2173,0.2105
187306272557630336,0.004,0.0165,-0.0035
188226907389191936,0.3769,0.3802,0.3456
205256525736556928,0.2288,0.2312,0.2267
202611062099973376,-0.363,-0.3535,-0.3694
190010353907435008,-0.2001,-0.0659,-0.2843
191029841703291136,-0.0081,-0.0047,-0.0098
187486528044907520,-0.1867,-0.1802,-0.1923
187037343184150272,0.3601,0.3721,0.2973
187027413219995264,-0.0779,-0.0726,-0.0834
188191826096333568,0.4059,0.4273,0.3359
90687517196198784,-0.6624,-0.629,-0.6762
90749673962876288,-0.5692,-0.5503,-0.5852
2804585988994281728,-0.1053,-0.1024,-0.1085
2804508713942707456,-0.065,-0.0569,-0.08
401222276993270272,-0.2856,-0.2814,-0.2895
224651842128929792,-0.6125,-0.499,-0.6542
236154756682327296,-0.4816,-0.4742,-0.4875
3289308675101908992,-0.4531,-0.4299,-0.4743
3292336077288800768,-0.2552,-0.243,-0.2629
180662301748104448,-0.0074,-0.0028,-0.01
3231495292857674112,-0.7637,-0.6813,-0.8441
238448995072931968,0.4238,0.4292,0.4192
3347137184225161472,-0.352,-0.3446,-0.3601
3348314451941307136,-0.5287,-0.3181,-0.6025
3350511237514595712,-0.3901,-0.3812,-0.3973
3400004172891157376,-0.8841,-0.8816,-0.8865
213872981746165120,-0.2977,-0.2942,-0.3005
213344498907956992,0.3048,0.3797,0.2277
258054799222642048,-0.2817,-0.1741,-0.3311
142596010900668544,-0.3001,-0.2784,-0.3213
142322266865054976,-0.4228,-0.4058,-0.4349
279797847820098560,-0.6936,-0.5209,-0.8979
168743153324481408,-0.9947,-0.9886,-0.9981
3427558728854916096,-0.756,-0.6343,-0.7909
3427377580016142080,-0.673,-0.6647,-0.6808
3427470767924586624,-0.569,-0.519,-0.581
175258545694995200,-0.5386,-0.4364,-0.5971
186827302102820864,-0.28,-0.2799,-0.2802
199772161734568192,-0.326,-0.3194,-0.336
191768060682753408,-0.1399,-0.0669,-0.1792
188695539859095168,0.2664,0.2691,0.2632
3444116343177399808,-0.04,-0.0395,-0.0402
3443716086587606400,-0.2517,-0.066,-0.408
188594698326819072,-0.4786,-0.3899,-0.5816
188753199799377024,0.5308,0.5326,0.5295
273650684467981440,0.3235,0.3965,0.3168
273673877291550848,0.0302,0.0397,0.0209
421535376363921408,-0.5619,-0.5496,-0.5722
421434564892447232,0.1701,0.1703,0.1699
