index,wd_subclass,wdsubclass1,y_actual,y_pred_proba
FLUX315238,DA,1,1,0.21333333333333335
FLUX21402084,DA,1,1,0.14
FLUX22707056,DA,1,1,0.9066666666666666
FLUX30212084,DA,1,1,0.6933333333333334
FLUX31304195,DA,1,1,0.94
FLUX38703043,DA,1,1,0.6466666666666666
FLUX39901032,DA,1,1,0.22
FLUX42503174,DA,1,1,0.94
FLUX43006191,DA,1,1,0.76
FLUX52401101,DA,1,1,1.0
FLUX52502241,DA,1,1,0.8533333333333334
FLUX55112148,DA,1,1,1.0
FLUX58002021,DA,1,1,1.0
FLUX58002149,DA,1,1,0.96
FLUX66502089,DA,1,1,0.96
FLUX68305116,DA,1,1,0.4266666666666667
FLUX75501161,DA,1,1,0.9733333333333334
FLUX76406180,DA,1,1,0.96
FLUX77214107,DA,1,1,0.9133333333333333
FLUX77904039,DA,1,1,0.5333333333333333
FLUX78907182,DA,1,1,0.96
FLUX89708235,DA,1,1,0.26666666666666666
FLUX100503177,DA,1,1,1.0
FLUX109804103,DA,1,1,1.0
FLUX119514129,DA,1,1,0.9333333333333333
FLUX125809123,DA,1,1,0.8733333333333333
FLUX133410210,DA,1,1,1.0
FLUX142410002,DA,1,1,1.0
FLUX143508169,DA,1,1,0.98
FLUX144504089,DA,1,1,0.6
FLUX145106135,DA,1,1,0.9666666666666667
FLUX148901088,DA,1,1,0.6133333333333333
FLUX148901098,DA,1,1,0.84
FLUX152005067,DA,1,1,0.9333333333333333
FLUX156915157,DA,1,1,0.9
FLUX158401006,DA,1,1,0.9933333333333333
FLUX160801135,DA,1,1,0.5066666666666667
FLUX160801142,DA,1,1,0.6133333333333333
FLUX160802148,DA,1,1,0.7066666666666667
FLUX160805098,DA,1,1,0.6
FLUX160806190,DA,1,1,0.7
FLUX160806195,DA,1,1,0.5066666666666667
FLUX160808092,DA,1,1,0.5133333333333333
FLUX160808096,DA,1,1,0.4866666666666667
FLUX160814132,DA,1,1,0.8533333333333334
FLUX160814134,DA,1,1,0.8733333333333333
FLUX162607206,DA,1,1,0.18
FLUX164002141,DA,1,1,0.86
FLUX164206230,DA,1,1,0.5466666666666666
FLUX164712006,DA,1,1,0.5333333333333333
FLUX164712008,DA,1,1,0.32
FLUX171801084,DA,1,1,0.9733333333333334
FLUX174708071,DA,1,1,0.94
FLUX176203116,DA,1,1,0.9733333333333334
FLUX176506237,DA,1,1,0.5266666666666666
FLUX185908242,DA,1,1,0.9666666666666667
FLUX188201240,DA,1,1,0.8533333333333334
FLUX189201187,DA,1,1,0.9733333333333334
FLUX189308130,DA,1,1,0.9866666666666667
FLUX197106096,DA,1,1,0.64
FLUX197304152,DA,1,1,0.6466666666666666
FLUX198207185,DA,1,1,0.9466666666666667
FLUX199614128,DA,1,1,0.9
FLUX200509174,DA,1,1,0.9333333333333333
FLUX200512108,DA,1,1,0.47333333333333333
FLUX201510137,DA,1,1,0.9533333333333334
FLUX202302067,DA,1,1,0.8466666666666667
FLUX202504151,DA,1,1,0.9733333333333334
FLUX203501236,DA,1,1,0.98
FLUX205014138,DA,1,1,0.9733333333333334
FLUX205111114,DA,1,1,0.9466666666666667
FLUX208913243,DA,1,1,1.0
FLUX210003005,DA,1,1,0.88
FLUX210014228,DA,1,1,0.9466666666666667
FLUX211115206,DA,1,1,0.94
FLUX212806164,DA,1,1,1.0
FLUX213108067,DA,1,1,0.9933333333333333
FLUX213801107,DA,1,1,0.9533333333333334
FLUX220301130,DA,1,1,0.9866666666666667
FLUX223907015,DA,1,1,0.9466666666666667
FLUX223912248,DA,1,1,0.9733333333333334
FLUX231102194,DA,1,1,0.9866666666666667
FLUX231807124,DA,1,1,1.0
FLUX232609104,DA,1,1,0.8866666666666667
FLUX232703143,DA,1,1,0.46
FLUX238211002,DA,1,1,0.96
FLUX238212247,DA,1,1,0.46
FLUX243107136,DA,1,1,0.9933333333333333
FLUX249301019,DA,1,1,0.94
FLUX253015081,DA,1,1,0.9533333333333334
FLUX254008172,DA,1,1,0.8733333333333333
FLUX256106208,DA,1,1,0.98
FLUX256207179,DA,1,1,0.8266666666666667
FLUX256211235,DA,1,1,0.9933333333333333
FLUX264209125,DA,1,1,0.6133333333333333
FLUX266115157,DA,1,1,0.9333333333333333
FLUX267507247,DA,1,1,0.56
FLUX270109111,DA,1,1,0.84
FLUX270514086,DA,1,1,0.82
FLUX270704196,DA,1,1,0.9
FLUX270913210,DA,1,1,0.54
FLUX271209161,DA,1,1,0.96
FLUX278901172,DA,1,1,0.94
FLUX279601027,DA,1,1,0.43333333333333335
FLUX281705141,DA,1,1,0.9333333333333333
FLUX283504133,DA,1,1,0.9533333333333334
FLUX283702183,DA,1,1,0.9466666666666667
FLUX284601020,DA,1,1,0.96
FLUX285308094,DA,1,1,0.9933333333333333
FLUX287016242,DA,1,1,0.94
FLUX290014160,DA,1,1,0.9933333333333333
FLUX293409213,DA,1,1,1.0
FLUX293411174,DA,1,1,0.94
FLUX296004039,DA,1,1,0.48
FLUX298605046,DA,1,1,0.92
FLUX298605162,DA,1,1,0.9733333333333334
FLUX300414223,DA,1,1,0.9866666666666667
FLUX301615185,DA,1,1,0.9666666666666667
FLUX301803019,DA,1,1,0.9666666666666667
FLUX302808228,DA,1,1,0.9733333333333334
FLUX307616146,DA,1,1,0.54
FLUX316410181,DA,1,1,0.9866666666666667
FLUX318401139,DA,1,1,0.94
FLUX318911004,DA,1,1,0.3466666666666667
FLUX319010102,DA,1,1,0.9133333333333333
FLUX319704246,DA,1,1,0.9266666666666666
FLUX331803186,DA,1,1,0.98
FLUX331804165,DA,1,1,0.25333333333333335
FLUX333112207,DA,1,1,1.0
FLUX336710164,DA,1,1,0.8733333333333333
FLUX337714154,DA,1,1,0.9733333333333334
FLUX338309138,DA,1,1,1.0
FLUX339709096,DA,1,1,0.56
FLUX341310209,DA,1,1,0.98
FLUX341405089,DA,1,1,0.9866666666666667
FLUX342107122,DA,1,1,0.9866666666666667
FLUX344015107,DA,1,1,0.9866666666666667
FLUX346803047,DA,1,1,0.96
FLUX347403014,DA,1,1,0.66
FLUX353714087,DA,1,1,0.94
FLUX353803135,DA,1,1,0.5
FLUX354611122,DA,1,1,0.9733333333333334
FLUX355201074,DA,1,1,0.9666666666666667
FLUX367416195,DA,1,1,0.9
FLUX367606083,DA,1,1,0.62
FLUX367615127,DA,1,1,0.6533333333333333
FLUX367814057,DA,1,1,0.7866666666666666
FLUX368302094,DA,1,1,0.9533333333333334
FLUX368715096,DA,1,1,0.9933333333333333
FLUX369508108,DA,1,1,0.06
FLUX369510087,DA,1,1,0.7066666666666667
FLUX369701101,DA,1,1,1.0
FLUX371615051,DA,1,1,0.98
FLUX378409169,DA,1,1,0.9133333333333333
FLUX380214234,DA,1,1,0.9933333333333333
FLUX382511158,DA,1,1,0.6733333333333333
FLUX385314070,DA,1,1,0.96
FLUX387303095,DA,1,1,0.96
FLUX387910103,DA,1,1,0.6266666666666667
FLUX388703195,DA,1,1,0.96
FLUX388708182,DA,1,1,0.6933333333333334
FLUX388802134,DA,1,1,0.98
FLUX388911145,DA,1,1,0.9133333333333333
FLUX397603157,DA,1,1,0.9733333333333334
FLUX397712163,DA,1,1,0.5533333333333333
FLUX401216228,DA,1,1,1.0
FLUX403005050,DA,1,1,0.86
FLUX403406175,DA,1,1,0.88
FLUX404411215,DA,1,1,0.9066666666666666
FLUX407409236,DA,1,1,0.62
FLUX407706005,DA,1,1,0.98
FLUX409603099,DA,1,1,0.86
FLUX418403157,DA,1,1,0.9933333333333333
FLUX418506043,DA,1,1,0.49333333333333335
FLUX420109239,DA,1,1,0.9466666666666667
FLUX420301136,DA,1,1,0.9866666666666667
FLUX420413023,DA,1,1,0.6466666666666666
FLUX420413077,DA,1,1,0.5066666666666667
FLUX422616160,DA,1,1,0.9866666666666667
FLUX425310023,DA,1,1,0.8466666666666667
FLUX428014036,DA,1,1,0.98
FLUX434507170,DA,1,1,0.9333333333333333
FLUX435902129,DA,1,1,0.9933333333333333
FLUX437706004,DA,1,1,0.92
FLUX438310119,DA,1,1,0.6933333333333334
FLUX439011091,DA,1,1,0.98
FLUX439213101,DA,1,1,0.7533333333333333
FLUX439613099,DA,1,1,0.9733333333333334
FLUX442010209,DA,1,1,1.0
FLUX447416189,DA,1,1,0.9533333333333334
FLUX447806194,DA,1,1,0.9666666666666667
FLUX449706090,DA,1,1,0.9666666666666667
FLUX450011020,DA,1,1,0.4866666666666667
FLUX451606031,DA,1,1,0.4866666666666667
FLUX451615044,DA,1,1,0.9866666666666667
FLUX455301244,DA,1,1,0.7
FLUX456707135,DA,1,1,0.8666666666666667
FLUX457911088,DA,1,1,0.68
FLUX469503062,DA,1,1,0.9066666666666666
FLUX505703046,DA,1,1,0.92
FLUX505709037,DA,1,1,0.9266666666666666
FLUX505810194,DA,1,1,0.6333333333333333
FLUX505912127,DA,1,1,0.9933333333333333
FLUX470409055,DA,1,1,0.9866666666666667
FLUX473715105,DA,1,1,0.9866666666666667
FLUX475103132,DA,1,1,1.0
FLUX475812149,DA,1,1,0.9466666666666667
FLUX476708029,DA,1,1,0.9333333333333333
FLUX483201038,DA,1,1,0.5133333333333333
FLUX483608148,DA,1,1,0.9066666666666666
FLUX506616231,DA,1,1,0.7933333333333333
FLUX484610018,DA,1,1,0.6933333333333334
FLUX485015225,DA,1,1,0.9866666666666667
FLUX485116121,DA,1,1,0.8066666666666666
FLUX485212178,DA,1,1,0.9133333333333333
FLUX486301087,DA,1,1,0.9733333333333334
FLUX486302187,DA,1,1,0.46
FLUX486515232,DA,1,1,0.6866666666666666
FLUX486716242,DA,1,1,0.94
FLUX486807093,DA,1,1,0.98
FLUX487615046,DA,1,1,0.9666666666666667
FLUX490815002,DA,1,1,0.94
FLUX491706111,DA,1,1,0.9933333333333333
FLUX497201038,DA,1,1,0.7133333333333334
FLUX497207093,DA,1,1,1.0
FLUX498001175,DA,1,1,0.3933333333333333
FLUX499503196,DA,1,1,0.9933333333333333
FLUX500510180,DA,1,1,1.0
FLUX501010004,DA,1,1,0.8733333333333333
FLUX501116121,DA,1,1,0.9666666666666667
FLUX501404250,DA,1,1,0.8133333333333334
FLUX501812068,DA,1,1,0.18666666666666668
FLUX502116161,DA,1,1,1.0
FLUX503702188,DA,1,1,0.8733333333333333
FLUX503814238,DA,1,1,0.9666666666666667
FLUX504610223,DA,1,1,0.9266666666666666
FLUX504707172,DA,1,1,0.9266666666666666
FLUX505304026,DA,1,1,0.8666666666666667
FLUX505315150,DA,1,1,0.9466666666666667
FLUX506904155,DA,1,1,0.94
FLUX507304038,DA,1,1,0.8866666666666667
FLUX507814235,DA,1,1,0.7333333333333333
FLUX508801087,DA,1,1,0.9933333333333333
FLUX508807093,DA,1,1,0.9666666666666667
FLUX509801038,DA,1,1,0.62
FLUX523116210,DA,1,1,1.0
FLUX524315107,DA,1,1,0.9133333333333333
FLUX526109040,DA,1,1,0.6466666666666666
FLUX526511105,DA,1,1,0.74
FLUX526909038,DA,1,1,0.4
FLUX529015188,DA,1,1,0.25333333333333335
FLUX529616231,DA,1,1,0.26666666666666666
FLUX531415087,DA,1,1,0.9866666666666667
FLUX531515147,DA,1,1,0.9333333333333333
FLUX537407093,DA,1,1,0.98
FLUX537610053,DA,1,1,0.7466666666666667
FLUX537713077,DA,1,1,0.88
FLUX537911073,DA,1,1,0.9933333333333333
FLUX545401087,DA,1,1,0.9733333333333334
FLUX545416231,DA,1,1,0.8133333333333334
FLUX545516106,DA,1,1,0.8266666666666667
FLUX545604181,DA,1,1,0.7933333333333333
FLUX547304154,DA,1,1,0.7933333333333333
FLUX547508017,DA,1,1,0.8733333333333333
FLUX547605129,DA,1,1,0.94
FLUX547710100,DA,1,1,0.46
FLUX582404042,DA,1,1,0.9933333333333333
FLUX552801087,DA,1,1,0.9333333333333333
FLUX552803056,DA,1,1,0.2733333333333333
FLUX556513154,DA,1,1,0.9933333333333333
FLUX558504090,DA,1,1,0.22666666666666666
FLUX582912074,DA,1,1,0.9733333333333334
FLUX563910165,DA,1,1,0.9666666666666667
FLUX584712097,DA,1,1,0.96
FLUX565808224,DA,1,1,0.9866666666666667
FLUX566509038,DA,1,1,0.8866666666666667
FLUX566609222,DA,1,1,0.5533333333333333
FLUX566904232,DA,1,1,0.8466666666666667
FLUX567310064,DA,1,1,0.98
FLUX569015064,DA,1,1,1.0
FLUX571809048,DA,1,1,0.9733333333333334
FLUX571812247,DA,1,1,0.98
FLUX573709050,DA,1,1,0.8733333333333333
FLUX575510158,DA,1,1,0.9933333333333333
FLUX576301124,DA,1,1,0.9733333333333334
FLUX577014004,DA,1,1,0.96
FLUX580113128,DA,1,1,0.49333333333333335
FLUX587708095,DA,1,1,1.0
FLUX587905242,DA,1,1,0.4
FLUX592412140,DA,1,1,0.9466666666666667
FLUX593209048,DA,1,1,0.7533333333333333
FLUX593502188,DA,1,1,0.74
FLUX602003033,DA,1,1,0.6866666666666666
FLUX602109079,DA,1,1,1.0
FLUX602112160,DA,1,1,1.0
FLUX604814106,DA,1,1,1.0
FLUX602904030,DA,1,1,0.9933333333333333
FLUX602914013,DA,1,1,0.6666666666666666
FLUX602915062,DA,1,1,0.9533333333333334
FLUX602916092,DA,1,1,0.9866666666666667
FLUX603207093,DA,1,1,0.9333333333333333
FLUX603710029,DA,1,1,0.9733333333333334
FLUX603713237,DA,1,1,0.9133333333333333
FLUX604011106,DA,1,1,0.25333333333333335
